2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)]
2025,충남대학교,"21,701",78,"4,665",143,1,0,21.5,12,53,65,0.7,O,직영(구내),5동,1986,0,0,0,78,"3,920","192,600",0,0,0,0,0,0,
2025,충남대학교,"21,701",142,"4,665",276,0,0,21.5,8,83,91,0.7,O,직영(구내),6동,1986,0,0,0,142,"3,920","186,600",0,0,0,0,0,0,
2025,충남대학교,"21,701",431,"4,665",827,0,0,21.5,117,514,631,0.7,O,민자(BTL),7동,2009,7,"3,920","401,100",424,"3,920","199,200",0,0,0,0,0,0,
2025,충남대학교,"21,701",211,"4,665",397,0,0,21.5,12,76,88,0.7,O,민자(BTL),9동,2009,0,0,0,211,"3,920","199,200",0,0,0,0,0,0,
2025,충남대학교,"21,701",34,"4,665",38,0,0,21.5,2,38,40,0.7,O,직영(구내),이인구인재관,1994,18,"3,920","371,700",16,"3,920","184,500",0,0,0,0,0,0,
2025,충남대학교,"21,701",276,"4,665",440,0,0,21.5,82,577,659,0.7,X,민자(BTL),13동,2015,100,0,"406,500",176,0,"234,300",0,0,0,0,0,0,
2025,충남대학교,"21,701",417,"4,665",804,0,0,21.5,49,526,575,0.7,O,민자(BTL),8동,2009,7,"3,920","401,100",410,"3,920","199,200",0,0,0,0,0,0,
2025,충남대학교,"21,701",197,"4,665",378,0,0,21.5,20,81,101,0.7,O,민자(BTL),11동,2009,0,0,0,197,"3,920","199,200",0,0,0,0,0,0,
2025,충남대학교,"21,701",96,"4,665",79,2,0,21.5,25,148,173,0.7,X,민자(BTL),10동,2009,96,0,"431,100",0,0,0,0,0,0,0,0,0,가족실 전용
2025,충남대학교,"21,701",100,"4,665",137,0,4,21.5,30,288,318,0.7,X,민자(BTL),12동,2015,50,0,"443,700",50,0,"245,100",0,0,0,0,0,0,
