2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],
2025,충남대학교,정원내,학생부위주(교과),사회통합전형(기회균형),63,39,61.9,0,0,0,0,1,1.59,0,0,9,14.29,0,0,1,1.59,0,0,0,0,0,0,13,20.63,0,0,63,100,1,1.59,15,23.81,17,26.98,29,46.03,1,1.59,0,0,63,100,100
2025,충남대학교,정원내,학생부위주(교과),대학별독자적기준,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,2,50,1,25,4,100,1,25,1,25,1,25,0,0,0,0,1,25,4,100,100
2025,충남대학교,정원내,학생부위주(종합),대학별독자적기준,654,587,89.76,0,0,10,1.53,0,0,0,0,1,0.15,3,0.46,43,6.57,8,1.22,0,0,0,0,0,0,2,0.31,654,100,12,1.83,231,35.32,305,46.64,106,16.21,0,0,0,0,654,100,100
2025,충남대학교,정원내,학생부위주(종합),지역인재 특별전형,19,16,84.21,0,0,0,0,0,0,0,0,0,0,0,0,3,15.79,0,0,0,0,0,0,0,0,0,0,19,100,0,0,13,68.42,5,26.32,1,5.26,0,0,0,0,19,100,100
2025,충남대학교,정원내,실기/실적위주,특기자,16,9,56.25,0,0,0,0,4,25,0,0,1,6.25,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,16,100,1,6.25,6,37.5,5,31.25,4,25,0,0,0,0,16,100,100
2025,충남대학교,정원내,실기/실적위주,일반전형,150,89,59.33,0,0,1,0.67,38,25.33,0,0,3,2,1,0.67,2,1.33,0,0,0,0,0,0,16,10.67,0,0,150,100,5,3.33,53,35.33,59,39.33,33,22,0,0,0,0,150,100,100
2025,충남대학교,정원내,수능위주,대학별독자적기준,7,6,85.71,0,0,0,0,0,0,0,0,0,0,0,0,1,14.29,0,0,0,0,0,0,0,0,0,0,7,100,1,14.29,1,14.29,4,57.14,1,14.29,0,0,0,0,7,100,100
2025,충남대학교,정원내,수능위주,일반전형,"1,109",815,73.49,4,0.36,25,2.25,0,0,2,0.18,5,0.45,110,9.92,88,7.94,1,0.09,0,0,1,0.09,54,4.87,4,0.36,"1,109",100,114,10.28,429,38.68,477,43.01,87,7.84,0,0,2,0.18,"1,109",100,100
2025,충남대학교,정원내,수능위주,지역인재 특별전형,62,37,59.68,0,0,0,0,0,0,0,0,0,0,12,19.35,13,20.97,0,0,0,0,0,0,0,0,0,0,62,100,0,0,37,59.68,11,17.74,14,22.58,0,0,0,0,62,100,100
2025,충남대학교,정원외,학생부위주(교과),계약학과(정원외),1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,1,100,100
2025,충남대학교,정원외,학생부위주(종합),계약학과(정원외),36,35,97.22,0,0,1,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,100,4,11.11,5,13.89,25,69.44,2,5.56,0,0,0,0,36,100,100
2025,충남대학교,정원외,학생부위주(종합),사회통합전형(기회균형)(정원외),230,171,74.35,1,0.43,0,0,1,0.43,1,0.43,39,16.96,1,0.43,11,4.78,0,0,0,0,0,0,1,0.43,4,1.74,230,100,4,1.74,48,20.87,44,19.13,133,57.83,1,0.43,0,0,230,100,100
2025,충남대학교,정원외,실기/실적위주,사회통합전형(기회균형)(정원외),1,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,1,100,100
